step1:block-candidate-built job=job-68 height=step1:block-candidate-built job=job-68 height=161161

step2:randomx-hashing job=job-68 thread=0
hashrate=630 H/s accepted=0 rejected=0
hashrate=699 H/s accepted=0 rejected=0
hashrate=587 H/s accepted=0 rejected=0
hashrate=529 H/s accepted=0 rejected=0
hashrate=604 H/s accepted=0 rejected=0
hashrate=587 H/s accepted=0 rejected=0
hashrate=684 H/s accepted=0 rejected=0
hashrate=618 H/s accepted=0 rejected=0
hashrate=710 H/s accepted=0 rejected=0
hashrate=708 H/s accepted=0 rejected=0
hashrate=699 H/s accepted=0 rejected=0
hashrate=563 H/s accepted=0 rejected=0
hashrate=542 H/s accepted=0 rejected=0
hashrate=503 H/s accepted=0 rejected=0
hashrate=605 H/s accepted=0 rejected=0
hashrate=717 H/s accepted=0 rejected=0
hashrate=644 H/s accepted=0 rejected=0
hashrate=505 H/s accepted=0 rejected=0
hashrate=616 H/s accepted=0 rejected=0
hashrate=680 H/s accepted=0 rejected=0
hashrate=539 H/s accepted=0 rejected=0
hashrate=493 H/s accepted=0 rejected=0
hashrate=528 H/s accepted=0 rejected=0
hashrate=597 H/s accepted=0 rejected=0
hashrate=718 H/s accepted=0 rejected=0
hashrate=716 H/s accepted=0 rejected=0
step1:block-candidate-built job=job-70 height=162
step2:randomx-hashing job=job-70 thread=0
hashrate=703 H/s accepted=0 rejected=0
hashrate=684 H/s accepted=0 rejected=0
hashrate=646 H/s accepted=0 rejected=0
hashrate=576 H/s accepted=0 rejected=0
hashrate=2 H/s accepted=0 rejected=0
